Name,AVERAGE SIX-YEAR GRADUATION RATE,AVERAGE FIRST-YEAR STUDENT RETENTION RATE,PELL GRANT GRADUATION RATES,PELL GRANT GRADUATION RATE PERFORMANCE,GRADUATION RATE PERFORMANCE,PEER ASSESSMENT SURVEY,CLASS SIZE INDEX,FACULTY COMPENSATION,PERCENT FACULTY WITH TERMINAL DEGREE IN THEIR FIELD,PERCENT FACULTY THAT IS FULL TIME,STUDENT-FACULTY RATIO,MATH AND EVIDENCE-BASED READING AND WRITING,HIGH SCHOOL CLASS STANDING IN TOP 10%,FINANCIAL RESOURCES PER STUDENT,AVERAGE ALUMNI GIVING RATE,GRADUATE INDEBTEDNESS TOTAL,GRADUATE INDEBTEDNESS PROPORTION WITH DEBT,DIVERSITY SCORE,TUITION AND FEES
University of Alabama,70.75,87.25,42.20183486238532,30.596709503151317,28.404750329884024,43.75,31.25802310654686,33.75114537729205,69.28251121076234,86.03945371775416,40.14084507042253,44.9612403100775,44.44444444444445,4.165116289651304,39.87854251012145,62.06280648199266,55.68181818181817,12.231703790471784,
University of Alabama at Birmingham,58.75,83.75,39.24815394942939,46.90234674218334,30.91577540106951,37.5,45.25032092426187,34.409570379895214,73.09417040358746,85.12898330804248,40.14084507042253,46.3565891472868,28.282828282828284,19.7311077012285,8.906882591093117,54.49939921410709,38.63636363636363,37.35095367838764,
University of Alabama--Huntsville,54.0,82.5,28.776012530767495,43.711767755313616,14.941805599245058,25.0,33.31193838254173,29.30902428691114,66.36771300448432,74.65857359635811,43.66197183098592,57.28682170542635,32.323232323232325,6.201807404927405,0.6072874493927127,63.27736823303997,56.81818181818181,18.201881673054558,
University of Arizona,64.25,83.25,46.37502797046317,59.0068764675388,31.299150676313303,59.375,33.889602053915276,30.244482600509926,85.65022421524661,92.56449165402125,57.74647887323944,48.062015503875955,34.343434343434346,12.942208496685637,14.170040485829956,68.16159516773291,56.81818181818181,45.399107294408,
University of Arkansas,65.5,83.75,40.792123517565436,37.15007776049768,31.558333960985152,40.625,48.33119383825416,34.48225638450176,61.65919282511213,86.49468892261001,43.66197183098592,42.63565891472868,28.282828282828284,6.755696880914775,30.971659919028337,62.49797031792939,52.272727272727266,14.98848302417204,
University of California--Berkeley,91.75,96.75,79.43611546207205,54.44999613954974,38.96103896103895,93.75,55.90500641848525,69.88072573238111,97.75784753363227,81.03186646433988,44.71830985915493,77.51937984496124,95.95959595959596,18.315687422910802,13.562753036437245,82.24596499204364,73.86363636363636,75.1688664732587,
University of California--Davis,86.0,92.5,85.70149921682702,77.57670012724444,40.74357015533485,68.75,20.66752246469833,56.937383441089345,86.54708520179373,79.81790591805765,40.14084507042253,55.81395348837208,100.0,22.256575449248388,10.12145748987854,82.3239047835547,55.68181818181817,75.65237467335122,
University of California--Irvine,84.25,93.75,84.7728798388901,78.53661297915062,46.12299465240642,65.625,49.10141206675226,62.33984158282292,95.51569506726456,93.32321699544764,47.183098591549296,65.50387596899225,98.98989898989899,14.705692529049294,12.55060728744939,76.41347059396617,56.81818181818181,85.3453778460727,
University of California--Los Angeles,91.25,96.5,87.84963078988585,69.29547316844761,42.17306757413712,84.375,45.89216944801028,75.42469496391448,95.51569506726456,95.75113808801214,47.183098591549296,76.74418604651163,96.96969696969697,40.3524278042252,10.12145748987854,73.117266911311,62.49999999999999,70.12763246581224,
University of California--Riverside,75.75,89.75,81.20384873573505,96.95936515532162,45.05164456816351,46.875,0.0,48.730436383132165,95.51569506726456,91.04704097116843,29.5774647887324,41.08527131782944,93.93939393939395,9.538208853577874,2.631578947368421,70.98041762738285,36.36363636363635,87.71004195862163,
University of California--San Diego,86.25,93.75,83.55336764376815,71.75284393730232,39.04986941922647,68.75,42.42618741976894,86.82669601623718,95.73991031390132,92.41274658573596,43.66197183098592,71.31782945736433,100.0,27.446989043191753,4.655870445344128,74.05579190075666,60.22727272727272,78.43056912140023,
University of California--Santa Barbara,83.75,93.25,89.57261132244346,76.50892394282752,47.48405386250886,62.5,55.712451861360734,77.58302297449475,99.99999999999999,93.77845220030349,50.70422535211267,68.9922480620155,100.0,16.441358170955745,32.38866396761133,75.20540382554476,56.81818181818181,64.59924703541884,
University of California--Santa Cruz,75.5,88.25,76.16916536137836,90.759629173315,25.707106500869784,50.0,7.060333761232357,54.117534780243325,95.51569506726456,85.28072837632774,23.943661971830977,54.263565891472865,93.93939393939395,8.869581941145459,3.0364372469635614,69.49306660604682,46.590909090909086,65.72530164394672,
University of Central Arkansas,42.75,75.0,9.040053703289324,6.826260830926458,14.681575109382592,12.5,59.820282413350455,16.14979142888727,42.600896860986566,86.79817905918057,57.74647887323944,21.70542635658913,22.222222222222225,1.0076647348656333,11.740890688259107,33.12116390088656,40.9090909090909,24.023714690921665,
University of Central Florida,72.25,91.0,69.59051241888565,84.44167962674959,54.28617728082966,37.5,19.704749679075743,36.19424828664295,66.36771300448432,87.70864946889225,0.0,52.71317829457362,34.343434343434346,2.0489797010891646,8.097165991902832,68.55778910791415,53.4090909090909,47.76288836890941,
University of Chicago,94.5,99.0,69.76952338330725,36.22775185761188,35.999779480677006,90.625,96.53401797175867,79.46569516323075,99.99999999999999,92.10925644916537,92.95774647887323,96.89922480620154,98.98989898989899,67.64172641795173,63.96761133603237,84.55168382424577,92.04545454545455,59.33671129574104,4.471346455321367
University of Cincinnati,69.5,87.0,54.352204072499426,55.72835666148262,47.80908292760796,37.5,36.585365853658544,30.422129328654734,67.93721973094172,75.87253414264038,43.66197183098592,48.83720930232556,24.242424242424242,7.516234676185863,13.967611336032386,60.47478322995486,39.77272727272726,16.075475601188728,
University of Colorado Boulder,70.25,87.0,52.405459834414835,54.61729225337308,33.67538661656309,62.5,55.32734274711167,38.87811556324272,71.30044843049329,83.91502276176024,47.183098591549296,51.16279069767441,25.252525252525253,12.068136703257334,8.906882591093117,71.49027376351768,64.77272727272727,22.989903127138604,
University of Colorado Denver,47.25,70.5,29.805325576191542,96.83773976153446,3.872395353125583,37.5,49.486521181001294,31.467732464748252,8.744394618834079,91.9575113808801,47.183098591549296,29.844961240310056,24.242424242424242,22.199462789793312,3.2388663967611326,72.74380541032053,51.13636363636363,50.59370074554809,
University of Colorado--Colorado Springs,44.5,69.0,15.752964869098228,50.58968377397616,2.6737967914438627,31.25,46.919127086007705,27.11882641084142,27.57847533632288,70.56145675265554,50.70422535211267,30.23255813953486,12.121212121212121,2.776161036296555,4.8582995951417,62.686324814081125,45.454545454545446,29.46422642703334,
University of Connecticut,84.0,93.5,79.52562094428282,74.88793340042082,44.47302511338253,53.125,57.76636713735559,42.26904950236847,83.63228699551571,89.37784522003034,54.225352112676056,57.36434108527132,50.505050505050505,14.282915719238762,13.360323886639675,63.02081641931607,45.454545454545446,39.61381001572682,
University of Delaware,83.0,90.5,74.49093756992613,64.14879380809433,48.1283422459893,50.0,25.160462130937105,43.213868817511475,81.16591928251121,86.79817905918057,68.30985915492957,53.48837209302323,23.232323232323232,12.426445697081324,12.75303643724696,58.458091124606234,38.63636363636363,22.053751935291345,
University of Denver,76.0,86.25,69.59051241888562,81.5257428173856,30.393285047045282,43.75,65.53273427471116,37.73071153535582,78.47533632286998,61.15326251896814,71.83098591549296,55.03875968992247,38.38383838383839,13.3422277176392,14.372469635627528,60.87747215276199,55.68181818181817,22.30291939692431,15.17331475352725
University of Detroit Mercy,66.75,84.5,56.030431863951655,51.34984248514576,52.1795495057527,12.5,65.85365853658537,26.385799755636384,85.87443946188343,56.14567526555388,71.83098591549296,37.98449612403098,25.252525252525253,8.334419105140356,9.311740890688258,38.71334394180496,30.681818181818187,32.59901536709127,58.13621320327469
University of Florida,88.5,96.75,77.06422018348621,59.24197914866656,45.709192768016294,65.625,61.424903722721425,40.7922971991597,84.30493273542602,92.86798179059178,50.70422535211267,72.09302325581393,81.81818181818183,19.348722526342307,34.0080971659919,75.16643392978924,71.5909090909091,41.34801095420849,
University of Georgia,85.5,95.25,78.85432982770192,64.29133101508029,47.73222420281246,62.5,50.385109114249055,37.26438949113033,88.78923766816145,92.41274658573596,50.70422535211267,62.01550387596899,55.55555555555556,9.475846964311287,24.69635627530364,66.58006689832104,60.22727272727272,21.76477483356794,
University of Hawaii--Manoa,60.5,79.75,42.828373237860795,66.62058637175275,31.016042780748677,34.375,51.73299101412066,37.53417987529822,72.6457399103139,89.98482549317146,75.35211267605634,38.75968992248062,29.292929292929294,17.150809759317664,6.072874493927124,67.13214042152438,60.22727272727272,76.36343409493065,
